INFO 2022-10-21 19:24:45,150  * Restarting with stat
WARNING 2022-10-21 19:24:46,163  * Debugger is active!
INFO 2022-10-21 19:24:46,170  * Debugger PIN: 643-800-590
INFO 2022-10-21 19:24:46,180  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2022-10-21 19:26:09,660  * Restarting with stat
WARNING 2022-10-21 19:26:10,599  * Debugger is active!
INFO 2022-10-21 19:26:10,604  * Debugger PIN: 643-800-590
INFO 2022-10-21 19:26:10,613  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
WARNING 2022-10-21 19:29:47,541  * Debugger is active!
INFO 2022-10-21 19:29:47,562  * Debugger PIN: 643-800-590
INFO 2022-10-21 19:29:47,583  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2022-10-21 22:28:43,476  * Restarting with stat
WARNING 2022-10-21 22:28:44,269  * Debugger is active!
INFO 2022-10-21 22:28:44,275  * Debugger PIN: 643-800-590
INFO 2022-10-21 22:28:44,283  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
WARNING 2022-10-22 00:14:23,015  * Debugger is active!
INFO 2022-10-22 00:14:23,026  * Debugger PIN: 643-800-590
INFO 2022-10-22 00:14:23,095  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2022-10-22 00:18:38,884  * Detected change in 'C:\\Users\\Bikash\\Downloads\\pythonpro\\pythonpro\\app.py', reloading
INFO 2022-10-22 00:19:53,818 127.0.0.1 - - [22/Oct/2022 00:19:53] "[37mGET / HTTP/1.1[0m" 200 -
INFO 2022-10-22 00:20:01,485 127.0.0.1 - - [22/Oct/2022 00:20:01] "[37mPOST /review HTTP/1.1[0m" 200 -
INFO 2022-10-22 00:20:01,498 127.0.0.1 - - [22/Oct/2022 00:20:01] "[33mGET /style.css HTTP/1.1[0m" 404 -
INFO 2022-10-22 00:20:06,207 127.0.0.1 - - [22/Oct/2022 00:20:06] "[37mPOST /comment HTTP/1.1[0m" 200 -
INFO 2022-10-22 00:20:06,265 127.0.0.1 - - [22/Oct/2022 00:20:06] "[33mGET /style.css HTTP/1.1[0m" 404 -
INFO 2022-10-22 00:33:28,605 127.0.0.1 - - [22/Oct/2022 00:33:28] "[37mGET / HTTP/1.1[0m" 200 -
INFO 2022-10-22 00:33:35,099 detals successfully fetched for 0th product
INFO 2022-10-22 00:33:35,212 detals successfully fetched for 1th product
INFO 2022-10-22 00:33:35,321 detals successfully fetched for 2th product
INFO 2022-10-22 00:33:35,442 detals successfully fetched for 3th product
INFO 2022-10-22 00:33:35,560 detals successfully fetched for 4th product
INFO 2022-10-22 00:33:35,675 detals successfully fetched for 5th product
INFO 2022-10-22 00:33:35,789 detals successfully fetched for 6th product
INFO 2022-10-22 00:33:35,909 detals successfully fetched for 7th product
INFO 2022-10-22 00:33:36,029 detals successfully fetched for 8th product
INFO 2022-10-22 00:33:36,149 detals successfully fetched for 9th product
INFO 2022-10-22 00:33:36,269 detals successfully fetched for 10th product
INFO 2022-10-22 00:33:36,387 detals successfully fetched for 11th product
INFO 2022-10-22 00:33:36,502 detals successfully fetched for 12th product
INFO 2022-10-22 00:33:36,629 detals successfully fetched for 13th product
INFO 2022-10-22 00:33:36,743 detals successfully fetched for 14th product
INFO 2022-10-22 00:33:36,856 detals successfully fetched for 15th product
INFO 2022-10-22 00:33:36,976 detals successfully fetched for 16th product
INFO 2022-10-22 00:33:37,086 detals successfully fetched for 17th product
INFO 2022-10-22 00:33:37,205 detals successfully fetched for 18th product
INFO 2022-10-22 00:33:37,319 detals successfully fetched for 19th product
INFO 2022-10-22 00:33:37,487 detals successfully fetched for 20th product
INFO 2022-10-22 00:33:37,599 detals successfully fetched for 21th product
INFO 2022-10-22 00:33:37,717 detals successfully fetched for 22th product
INFO 2022-10-22 00:33:37,836 detals successfully fetched for 23th product
INFO 2022-10-22 00:33:37,841 127.0.0.1 - - [22/Oct/2022 00:33:37] "[37mPOST /review HTTP/1.1[0m" 200 -
INFO 2022-10-22 00:33:37,857 127.0.0.1 - - [22/Oct/2022 00:33:37] "[33mGET /style.css HTTP/1.1[0m" 404 -
INFO 2022-10-22 01:15:49,880  * Detected change in 'C:\\Users\\Bikash\\Downloads\\pythonpro\\pythonpro\\app.py', reloading
INFO 2022-10-22 14:30:23,725 127.0.0.1 - - [22/Oct/2022 14:30:23] "[37mGET / HTTP/1.1[0m" 200 -
INFO 2022-10-22 14:30:24,754 127.0.0.1 - - [22/Oct/2022 14:30:24] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
INFO 2022-10-22 14:30:24,757 127.0.0.1 - - [22/Oct/2022 14:30:24] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
INFO 2022-10-22 14:30:25,601 127.0.0.1 - - [22/Oct/2022 14:30:25] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
INFO 2022-10-22 14:30:39,823  product details successfully fetched for 0th product
INFO 2022-10-22 14:30:39,912  product details successfully fetched for 1th product
INFO 2022-10-22 14:30:40,001  product details successfully fetched for 2th product
INFO 2022-10-22 14:30:40,194  product details successfully fetched for 3th product
INFO 2022-10-22 14:30:40,296  product details successfully fetched for 4th product
INFO 2022-10-22 14:30:40,408  product details successfully fetched for 5th product
INFO 2022-10-22 14:30:40,502  product details successfully fetched for 6th product
INFO 2022-10-22 14:30:40,587  product details successfully fetched for 7th product
INFO 2022-10-22 14:30:40,680  product details successfully fetched for 8th product
INFO 2022-10-22 14:30:40,766  product details successfully fetched for 9th product
INFO 2022-10-22 14:30:40,851  product details successfully fetched for 10th product
INFO 2022-10-22 14:30:40,942  product details successfully fetched for 11th product
INFO 2022-10-22 14:30:41,030  product details successfully fetched for 12th product
INFO 2022-10-22 14:30:41,118  product details successfully fetched for 13th product
INFO 2022-10-22 14:30:41,204  product details successfully fetched for 14th product
INFO 2022-10-22 14:30:41,295  product details successfully fetched for 15th product
INFO 2022-10-22 14:30:41,382  product details successfully fetched for 16th product
INFO 2022-10-22 14:30:41,476  product details successfully fetched for 17th product
INFO 2022-10-22 14:30:41,567  product details successfully fetched for 18th product
INFO 2022-10-22 14:30:41,662  product details successfully fetched for 19th product
ERROR 2022-10-22 14:30:41,759 Percentage_off not present for 20th product
INFO 2022-10-22 14:30:41,760  product details successfully fetched for 20th product
ERROR 2022-10-22 14:30:41,850 Percentage_off not present for 21th product
INFO 2022-10-22 14:30:41,851  product details successfully fetched for 21th product
ERROR 2022-10-22 14:30:41,950 Percentage_off not present for 22th product
INFO 2022-10-22 14:30:41,951  product details successfully fetched for 22th product
ERROR 2022-10-22 14:30:42,041 Percentage_off not present for 23th product
INFO 2022-10-22 14:30:42,041  product details successfully fetched for 23th product
INFO 2022-10-22 14:30:42,249 127.0.0.1 - - [22/Oct/2022 14:30:42] "[37mPOST /review HTTP/1.1[0m" 200 -
INFO 2022-10-22 14:30:42,290 127.0.0.1 - - [22/Oct/2022 14:30:42] "[33mGET /style.css HTTP/1.1[0m" 404 -
INFO 2022-10-22 14:30:54,663 review details successfully fetched from 0th customer 
INFO 2022-10-22 14:30:54,756 review details successfully fetched from 1th customer 
INFO 2022-10-22 14:30:54,845 review details successfully fetched from 2th customer 
INFO 2022-10-22 14:30:54,934 review details successfully fetched from 3th customer 
INFO 2022-10-22 14:30:55,026 review details successfully fetched from 4th customer 
INFO 2022-10-22 14:30:55,114 review details successfully fetched from 5th customer 
INFO 2022-10-22 14:30:55,199 review details successfully fetched from 6th customer 
INFO 2022-10-22 14:30:55,305 review details successfully fetched from 7th customer 
INFO 2022-10-22 14:30:55,429 review details successfully fetched from 8th customer 
INFO 2022-10-22 14:30:55,634 review details successfully fetched from 9th customer 
INFO 2022-10-22 14:30:55,687 127.0.0.1 - - [22/Oct/2022 14:30:55] "[37mPOST /comment HTTP/1.1[0m" 200 -
INFO 2022-10-22 14:30:55,703 127.0.0.1 - - [22/Oct/2022 14:30:55] "[33mGET /style.css HTTP/1.1[0m" 404 -
INFO 2022-10-22 14:33:51,640 127.0.0.1 - - [22/Oct/2022 14:33:51] "[37mGET / HTTP/1.1[0m" 200 -
INFO 2022-10-22 14:33:59,780  product details successfully fetched for 0th product
INFO 2022-10-22 14:33:59,898  product details successfully fetched for 1th product
INFO 2022-10-22 14:34:00,018  product details successfully fetched for 2th product
INFO 2022-10-22 14:34:00,126  product details successfully fetched for 3th product
INFO 2022-10-22 14:34:00,240  product details successfully fetched for 4th product
INFO 2022-10-22 14:34:00,356  product details successfully fetched for 5th product
INFO 2022-10-22 14:34:00,466  product details successfully fetched for 6th product
INFO 2022-10-22 14:34:00,587  product details successfully fetched for 7th product
INFO 2022-10-22 14:34:00,697  product details successfully fetched for 8th product
INFO 2022-10-22 14:34:00,805  product details successfully fetched for 9th product
INFO 2022-10-22 14:34:00,913  product details successfully fetched for 10th product
INFO 2022-10-22 14:34:01,025  product details successfully fetched for 11th product
INFO 2022-10-22 14:34:01,130  product details successfully fetched for 12th product
INFO 2022-10-22 14:34:01,242  product details successfully fetched for 13th product
INFO 2022-10-22 14:34:01,353  product details successfully fetched for 14th product
INFO 2022-10-22 14:34:01,467  product details successfully fetched for 15th product
INFO 2022-10-22 14:34:01,571  product details successfully fetched for 16th product
INFO 2022-10-22 14:34:01,687  product details successfully fetched for 17th product
INFO 2022-10-22 14:34:01,816  product details successfully fetched for 18th product
INFO 2022-10-22 14:34:01,927  product details successfully fetched for 19th product
INFO 2022-10-22 14:34:02,038  product details successfully fetched for 20th product
INFO 2022-10-22 14:34:02,145  product details successfully fetched for 21th product
INFO 2022-10-22 14:34:02,252  product details successfully fetched for 22th product
INFO 2022-10-22 14:34:02,362  product details successfully fetched for 23th product
INFO 2022-10-22 14:34:02,367 127.0.0.1 - - [22/Oct/2022 14:34:02] "[37mPOST /review HTTP/1.1[0m" 200 -
INFO 2022-10-22 14:34:02,381 127.0.0.1 - - [22/Oct/2022 14:34:02] "[33mGET /style.css HTTP/1.1[0m" 404 -
INFO 2022-10-22 14:37:10,049 review details successfully fetched from 0th customer 
INFO 2022-10-22 14:37:10,111 review details successfully fetched from 1th customer 
INFO 2022-10-22 14:37:10,170 review details successfully fetched from 2th customer 
INFO 2022-10-22 14:37:10,231 review details successfully fetched from 3th customer 
INFO 2022-10-22 14:37:10,299 review details successfully fetched from 4th customer 
INFO 2022-10-22 14:37:10,361 review details successfully fetched from 5th customer 
INFO 2022-10-22 14:37:10,426 review details successfully fetched from 6th customer 
INFO 2022-10-22 14:37:10,491 review details successfully fetched from 7th customer 
INFO 2022-10-22 14:37:10,555 review details successfully fetched from 8th customer 
INFO 2022-10-22 14:37:10,619 review details successfully fetched from 9th customer 
INFO 2022-10-22 14:37:10,624 127.0.0.1 - - [22/Oct/2022 14:37:10] "[37mPOST /comment HTTP/1.1[0m" 200 -
INFO 2022-10-22 14:37:10,638 127.0.0.1 - - [22/Oct/2022 14:37:10] "[33mGET /style.css HTTP/1.1[0m" 404 -
INFO 2022-10-22 21:48:29,366  * Detected change in 'C:\\Users\\Bikash\\Downloads\\pythonpro\\pythonpro\\app.py', reloading
INFO 2022-10-22 22:10:29,161 package: mysql.connector.plugins
INFO 2022-10-22 22:10:29,162 plugin_name: caching_sha2_password
INFO 2022-10-22 22:10:29,166 AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
INFO 2022-10-22 22:10:29,296 db connection successful
INFO 2022-10-22 22:10:29,309 127.0.0.1 - - [22/Oct/2022 22:10:29] "[37mGET / HTTP/1.1[0m" 200 -
INFO 2022-10-22 22:10:36,777  product details successfully fetched for 0th product
INFO 2022-10-22 22:10:37,017  product details successfully fetched for 1th product
INFO 2022-10-22 22:10:37,307  product details successfully fetched for 2th product
INFO 2022-10-22 22:10:37,606  product details successfully fetched for 3th product
INFO 2022-10-22 22:10:37,838  product details successfully fetched for 4th product
INFO 2022-10-22 22:10:38,032  product details successfully fetched for 5th product
INFO 2022-10-22 22:10:38,244  product details successfully fetched for 6th product
INFO 2022-10-22 22:10:38,460  product details successfully fetched for 7th product
INFO 2022-10-22 22:10:38,678  product details successfully fetched for 8th product
INFO 2022-10-22 22:10:38,904  product details successfully fetched for 9th product
INFO 2022-10-22 22:10:39,186  product details successfully fetched for 10th product
INFO 2022-10-22 22:10:39,471  product details successfully fetched for 11th product
INFO 2022-10-22 22:10:39,746  product details successfully fetched for 12th product
INFO 2022-10-22 22:10:40,118  product details successfully fetched for 13th product
INFO 2022-10-22 22:10:40,379  product details successfully fetched for 14th product
INFO 2022-10-22 22:10:40,762  product details successfully fetched for 15th product
INFO 2022-10-22 22:10:41,034  product details successfully fetched for 16th product
INFO 2022-10-22 22:10:41,269  product details successfully fetched for 17th product
INFO 2022-10-22 22:10:41,585  product details successfully fetched for 18th product
INFO 2022-10-22 22:10:41,977  product details successfully fetched for 19th product
INFO 2022-10-22 22:10:42,396  product details successfully fetched for 20th product
INFO 2022-10-22 22:10:42,664  product details successfully fetched for 21th product
INFO 2022-10-22 22:10:42,920  product details successfully fetched for 22th product
INFO 2022-10-22 22:10:43,179  product details successfully fetched for 23th product
ERROR 2022-10-22 22:10:45,925 Failed processing format-parameters; Python 'dict' cannot be converted to a MySQL type
INFO 2022-10-22 22:10:45,940 127.0.0.1 - - [22/Oct/2022 22:10:45] "[37mPOST /review HTTP/1.1[0m" 200 -
INFO 2022-10-22 22:10:45,979 127.0.0.1 - - [22/Oct/2022 22:10:45] "[33mGET /style.css HTTP/1.1[0m" 404 -
INFO 2022-10-22 22:44:29,735 review details successfully fetched from 0th customer 
INFO 2022-10-22 22:44:29,864 review details successfully fetched from 1th customer 
INFO 2022-10-22 22:44:29,946 review details successfully fetched from 2th customer 
INFO 2022-10-22 22:44:30,039 review details successfully fetched from 3th customer 
INFO 2022-10-22 22:44:30,122 review details successfully fetched from 4th customer 
